mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__depth,param_clf__estimator__iterations,param_clf__estimator__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5820456504821777,0.11717519244010462,0.00899677276611328,0.0029966637152247524,4,100,0.01,"{'clf__estimator__depth': 4, 'clf__estimator__iterations': 100, 'clf__estimator__learning_rate': 0.01}",0.7152286787450287,0.6979845048282057,0.775496064737834,0.7675146879503381,0.6992850016627868,0.7311017875848387,0.03363857614346258,25,0.811973727650258,0.7988699293922192,0.8082721647766336,0.8154231567836334,0.8139127506058985,0.8096903458417286,0.005916084946074361
0.42581992149353026,0.027889754103050297,0.007610464096069336,0.0004627197071721995,4,100,0.05,"{'clf__estimator__depth': 4, 'clf__estimator__iterations': 100, 'clf__estimator__learning_rate': 0.05}",0.7356385329209014,0.7353469571075679,0.7703414255625761,0.7487529098769538,0.6988138787274137,0.7377787408390827,0.023278811670292283,16,0.8854754913033656,0.8825972587567493,0.8837646960784993,0.8884868855077395,0.8927281754987813,0.886610501429027,0.003645263394039609
0.37535691261291504,0.0365275084540731,0.007116365432739258,0.00036324205950451525,4,100,0.1,"{'clf__estimator__depth': 4, 'clf__estimator__iterations': 100, 'clf__estimator__learning_rate': 0.1}",0.7317167476800707,0.7323995059510443,0.7716716550271588,0.748946901673872,0.6900011085245539,0.7349471837713399,0.02676473407331185,23,0.9535368629563344,0.9495067838848125,0.9476913354768369,0.9572502968729383,0.9603509697849321,0.9536672497951709,0.004702092481483019
0.6876450061798096,0.07555288600306947,0.008843040466308594,0.002089399837430086,4,200,0.01,"{'clf__estimator__depth': 4, 'clf__estimator__iterations': 200, 'clf__estimator__learning_rate': 0.01}",0.7219122845779937,0.7188973725578263,0.7805952776854007,0.75734397516905,0.7038576654472896,0.7365213150875121,0.028167493614051912,21,0.8350072109954648,0.8288903502699709,0.8335515031145617,0.8345011492975742,0.8395757668349526,0.8343051961025049,0.003411707693238534
0.6683027744293213,0.06513141210711242,0.008519649505615234,0.0021170784746683815,4,200,0.05,"{'clf__estimator__depth': 4, 'clf__estimator__iterations': 200, 'clf__estimator__learning_rate': 0.05}",0.7438135218736192,0.7314450931955985,0.7576488194213502,0.7476720984369805,0.7038299523334441,0.7368818970521985,0.01853499834983642,19,0.9582457298743724,0.955337117541188,0.9604672884216081,0.9603075673085604,0.9529725488017445,0.9574660503894947,0.002912506131069673
0.7031008243560791,0.056381920066630745,0.007584810256958008,0.00045777899497929947,4,200,0.1,"{'clf__estimator__depth': 4, 'clf__estimator__iterations': 200, 'clf__estimator__learning_rate': 0.1}",0.7351137870083959,0.7335784864136538,0.7641059749473451,0.7315984924066068,0.6946291985367475,0.7318051878625499,0.022088590573960086,24,0.9928915223019582,0.9968088052055932,0.9975034895591003,0.9969427295643781,0.9976389052853799,0.9963570903832819,0.0017615028907712867
1.8983028888702393,0.21181688527302403,0.007031583786010742,0.0002255381589466054,4,500,0.01,"{'clf__estimator__depth': 4, 'clf__estimator__iterations': 500, 'clf__estimator__learning_rate': 0.01}",0.7377375165709236,0.7397260273972602,0.7813989579869194,0.7624986143443078,0.6998669770535416,0.7442456186705905,0.02737074497857567,7,0.8929714514083161,0.8855842447736397,0.8861639849723265,0.8817039465003716,0.891945194825036,0.887673764495938,0.004209390869422758
1.7885917663574218,0.2626643759507577,0.007552909851074219,0.0006013472294669922,4,500,0.05,"{'clf__estimator__depth': 4, 'clf__estimator__iterations': 500, 'clf__estimator__learning_rate': 0.05}",0.7371022978347327,0.7339434089377948,0.7657964748919188,0.7189335993792263,0.6924952887706463,0.7296542139628637,0.02398270823093582,26,0.9969974457437751,0.9993873736674512,0.9981823042895536,0.9986458427372032,0.9988107721474156,0.9984047477170798,0.0008023112024168743
1.7808186531066894,0.26842002638889073,0.008719205856323242,0.0018351444810916807,4,500,0.1,"{'clf__estimator__depth': 4, 'clf__estimator__iterations': 500, 'clf__estimator__learning_rate': 0.1}",0.7320481661511268,0.718700875814058,0.7783505154639175,0.7100376898348298,0.6932712559583195,0.7264817006444504,0.028827902635508953,27,0.9998609928585082,0.9999619271770732,1.0,0.999934028235915,0.9999722224151221,0.9999458341373237,4.738499701833671e-05
0.602183723449707,0.07170372669863459,0.009402036666870117,0.0033242357431166884,6,100,0.01,"{'clf__estimator__depth': 6, 'clf__estimator__iterations': 100, 'clf__estimator__learning_rate': 0.01}",0.7205037560760054,0.7184763081068942,0.7910431216051435,0.7558474670213946,0.7006983704689058,0.7373138046556686,0.03227523871547579,18,0.8793678650240656,0.8708846739581892,0.8758567648835772,0.8780581384851494,0.8848810077707794,0.8778096900243522,0.00456646328706202
0.5553829669952393,0.08130395105902295,0.009420013427734375,0.004944922275590728,6,100,0.05,"{'clf__estimator__depth': 6, 'clf__estimator__iterations': 100, 'clf__estimator__learning_rate': 0.05}",0.7499447635881573,0.7505614192679093,0.7924287772974171,0.764854229021173,0.7066844030595277,0.7528947184468369,0.027768728704425812,1,0.9621761568000555,0.9569275231898104,0.9662363455809335,0.9717797098631259,0.9690071596725023,0.9652253790212855,0.0052237024918601865
0.5303764343261719,0.06157144038336213,0.007006645202636719,0.0002658657306181202,6,100,0.1,"{'clf__estimator__depth': 6, 'clf__estimator__iterations': 100, 'clf__estimator__learning_rate': 0.1}",0.7544189129474149,0.7500561419267909,0.7584802128367143,0.7402449839263939,0.6807449285001662,0.736789036027496,0.028671314497030535,20,0.9934249622074334,0.993986224560432,0.9949531600474997,0.9981441101103465,0.996666689814654,0.9954350293480732,0.001745148092676661
